wavelength_nm,mua
616,39.374869662664715
617,38.31389859779629
618,37.13615035497372
619,35.964603626456366
620,34.89743104728272
621,33.99624671435996
622,33.201236629290804
623,32.434331599095735
624,31.665869747770927
625,30.88758141660717
626,30.12835849909809
627,29.420275284294615
628,28.770974091273953
629,28.175419111119172
630,27.60229399291037
631,27.02144056246424
632,26.433613894546777
633,25.8586043666307
634,25.361430318066414
635,24.98931688913543
636,24.67308846196603
637,24.3353965860783
638,23.98260223871267
639,23.63616886858748
640,23.294260382612283
641,22.95078384944077
642,22.605918526511896
643,22.261232461021958
644,21.91757667041151
645,21.578176080096917
646,21.256468277153715
647,20.962216861548516
648,20.680276823153168
649,20.393806392036836
650,20.10408536915262
651,19.815644147221505
652,19.52789391515208
653,19.23955487199124
654,18.951702461151527
655,18.66492549372438
656,18.37551100715099
657,18.082383558018815
658,17.79931955315044
659,17.539306343041208
660,17.29732320264234
661,17.064525769583067
662,16.834783207748714
663,16.60381504966208
664,16.372028776139793
665,16.140649983434116
666,15.909488781246164
667,15.678164493348719
668,15.446948786352534
669,15.216004745967103
670,14.984408791458907
671,14.751889256217192
672,14.521868796565284
673,14.298675176092019
674,14.086562264514257
675,13.887441518801664
676,13.693928638807147
677,13.498365571958521
678,13.30129501310004
679,13.104767149085806
680,12.908661387392934
681,12.712435033177178
682,12.516027761685825
683,12.319586970031187
684,12.123608572694014
685,11.928126089837596
686,11.730974946986903
687,11.531632425071773
688,11.3383413212798
689,11.160128184975486
690,11.00038905797319
691,10.85862766942539
692,10.724409005387143
693,10.587528658333445
694,10.448643389516397
695,10.310414881951447
696,10.172663336930356
697,10.034705188611605
698,9.896683284344311
699,9.758589790710827
700,9.618987738035894
701,9.476742509162161
702,9.333358033261526
703,9.190512521313961
704,9.047942765202455
705,8.905109800973944
706,8.762313060428088
707,8.621343613278373
708,8.489120685140891
709,8.370678957508975
710,8.258386779482318
711,8.14374345466952
712,8.027438437108449
713,7.911822873585245
714,7.796704531449874
715,7.681420761253885
716,7.565970625791302
717,7.45051955312275
718,7.335236720132729
719,7.2205519374578
720,7.107933801918895
721,6.998338929386814
722,6.889637225747493
723,6.779931220749415
724,6.6713406495760905
725,6.56484300899687
726,6.452829636689395
727,6.326399236348912
728,6.180066134832789
729,6.021653431178676
730,5.908803689983261
731,5.887691951116611
732,5.90880368998326
733,5.914308709860637
734,5.90880368998326
735,5.907600498856867
736,5.906444886115003
737,5.900177276145495
738,5.8995829112255285
739,5.920388405989905
740,5.982141046614515
741,6.094963170563536
742,6.227456648913223
743,6.348896681702882
744,6.47277225121193
745,6.618767880791068
746,6.787136475835968
747,6.970125236201381
748,7.147390157533371
749,7.313263807375035
750,7.5333762450663
751,7.847853261947166
752,8.123506085561088
753,8.23543970937819
754,8.265248754371791
755,8.315430738121687
756,8.365605137130352
757,8.377681179040154
758,8.365605137130354
759,8.346916248420802
760,8.30148855925683
761,8.209076717847353
762,8.086622970530165
763,7.95637083352349
764,7.8245813044383645
765,7.693048544935986
766,7.5616818914853825
767,7.430010137788503
768,7.297924731671213
769,7.165462727485657
770,7.032880951565271
771,6.900395174441839
772,6.767837171459325
773,6.635110943820766
774,6.502793391353378
775,6.371052738713206
776,6.237749611247434
777,6.102762787148847
778,5.976351255301521
