wavelength_nm,mua
772,3.5575051067618326
773,3.5944612316229474
774,3.630413589962496
775,3.663939220590946
776,3.6947446045513175
777,3.7231121024017475
778,3.7504981505282973
779,3.778268451464426
780,3.8062516965052753
781,3.834063632841264
782,3.8620052424822524
783,3.8902478341331013
784,3.9177587884592326
785,3.9434329857684243
786,3.9670792329773303
787,3.988926011738168
788,4.009966576036543
789,4.031196256638165
790,4.0528539190957575
791,4.074750447106075
792,4.095741262154973
793,4.1155874986897265
794,4.138628605214187
795,4.170297894548419
796,4.215825822720772
797,4.275161675533316
798,4.327332914674729
799,4.354778972987139
800,4.374508992039866
801,4.405351142991267
802,4.438840006628688
803,4.46332735926521
804,4.481727349687902
805,4.500361029956463
806,4.524614692747115
807,4.556935107155191
808,4.588945707335937
809,4.612579741671931
810,4.631833050395152
811,4.652401740409154
812,4.674720393454367
813,4.6974736282400125
814,4.717607736513581
815,4.734152044746398
816,4.756206345266874
817,4.7916491724216845
818,4.8334035627734595
819,4.872905815782027
820,4.910600780280046
821,4.948740593610722
822,4.987797997786632
823,5.027328143975119
824,5.064995215293218
825,5.098450148469507
826,5.127181862729077
827,5.151649853696056
828,5.174357940094214
829,5.197693523957297
830,5.221534017459349
831,5.245251923135444
832,5.268710094824485
833,5.292031120352424
834,5.315886172189621
835,5.340948488285413
836,5.367350983860678
837,5.3949585782332985
838,5.423104529837658
839,5.451119831664638
840,5.478858075814635
841,5.506449912065028
842,5.534611621791615
843,5.563489612893997
844,5.590365167768592
845,5.612377637886644
846,5.6289637765218865
847,5.640697934124943
848,5.650407448051492
849,5.6607999321807565
850,5.671851119581102
851,5.682878040049807
852,5.6932947911107075
853,5.703125639695438
854,5.714738462640314
855,5.730595483680344
856,5.7511927042406485
857,5.776038568743752
858,5.802657515911705
859,5.828677223060543
860,5.854122327582761
861,5.87959206949747
862,5.905587139253818
863,5.932082899459313
864,5.957051950924876
865,5.9783853278366355
866,5.995650559678167
867,6.009266770273833
868,6.021382965513697
869,6.034039891278904
870,6.047115371349228
871,6.060068675199325
872,6.072847777184755
873,6.085574853525736
874,6.0985801830202835
875,6.112183837206961
876,6.126456956008772
877,6.1413373065218275
878,6.156478096150223
879,6.1715401390768365
880,6.186499236291672
881,6.201434134496512
882,6.216520376433122
883,6.231782161111504
884,6.246541516574574
885,6.260086808292322
886,6.272273922410103
887,6.2832447390967525
888,6.29371759393971
889,6.304372692581855
890,6.315161265469318
891,6.325901068802899
892,6.336604936998925
893,6.347321639611268
894,6.35804860852853
895,6.368773009334391
896,6.379492280058136
897,6.390208988811166
898,6.400935951587743
899,6.411675730358585
900,6.422379623117351
901,6.433034813869774
902,6.443823294646959
903,6.454793767455246
904,6.465266966176567
905,6.474524806991579
906,6.482421903400252
907,6.489101429732412
908,6.495288106318015
909,6.5016634114453336
910,6.508154309235781
911,6.514572171147643
912,6.5210205121535445
913,6.527572368132069
914,6.533886715071309
915,6.539591992104517
916,6.544608550836112
917,6.54900936938388
918,6.553186019447957
919,6.557486195318047
920,6.561763488059798
921,6.565894371867199
922,6.570340956671642
923,6.575249651407479
924,6.578918425283486
925,6.5795449388976674
926,6.576774058130524
927,6.57096758430268
928,6.56390785521276
929,6.55729023445086
930,6.551041652294995
931,6.544720000417142
932,6.538175449377229
933,6.531481068897244
934,6.525309246459466
935,6.520345903292205
936,6.516731777847622
937,6.514330574431678
938,6.512443043541701
939,6.510392354937293
940,6.508154309235782
941,6.505892064151597
942,6.5038655749298595
943,6.502099040953243
944,6.499576840623938
945,6.495234881014465
946,6.488855004859134
947,6.48064869607339
