wavelength_nm,mua
419.0,1223.4029337711916
420.0,1213.7299733319567
421.0,1204.1562245143327
422.0,1194.680437701053
423.0,1185.3013819232876
424.0,1176.017844539141
425.0,1166.828630918432
426.0,1157.7325641336238
427.0,1148.7284846567632
428.0,1139.8152500623048
429.0,1130.991734735689
430.0,1122.2568295875506
431.0,1113.609441773434
432.0,1105.048494418901
433.0,1096.5729263499131
434.0,1088.1816918283696
435.0,1079.8737602927035
436.0,1071.6481161034158
437.0,1063.5037582934472
438.0,1055.439700323288
439.0,1047.454969840719
440.0,1039.548608445091
441.0,1031.7196714560434
442.0,1023.9672276865714
443.0,1016.2903592203493
444.0,1008.6881611932187
445.0,1001.159741578758
446.0,993.7042209778468
447.0,986.3207324121393
448.0,979.0084211213692
449.0,971.7664443644071
450.0,964.5939712239872
451.0,957.4901824150344
452.0,950.4542700965135
453.0,943.4854376867294
454.0,936.5828996820078
455.0,929.745881478686
456.0,922.9736191983491
457.0,916.2653595162408
458.0,909.62035949279
459.0,903.0378864081848
460.0,896.5172175999362
461.0,890.0576403033679
462.0,883.6584514949768
463.0,877.3189577386031
464.0,871.038475034355
465.0,864.8163286702343
466.0,858.6518530764066
467.0,852.5443916820641
468.0,846.4932967748315
469.0,840.4979293626606
470.0,834.5576590381672
471.0,828.6718638453639
472.0,822.8399301487343
473.0,817.0612525046116
474.0,811.3352335348094
475.0,805.661283802464
476.0,800.0388216900449
477.0,794.4672732794884
478.0,788.9460722344177
479.0,783.4746596844037
480.0,778.0524841112314
481.0,772.6790012371297
482.0,767.3536739149292
483.0,762.0759720201096
484.0,756.8453723447
485.0,751.6613584929978
486.0,746.5234207790703
487.0,741.4310561260056
488.0,736.3837679668784
489.0,731.3810661474004
490.0,726.4224668302194
491.0,721.5074924008401
492.0,716.6356713751335
493.0,711.8065383084048
494.0,707.0196337059913
495.0,702.2745039353613
496.0,697.5707011396862
497.0,692.9077831528568
498.0,688.2853134159188
499.0,683.7028608948996
500.0,679.16
501.0,674.6563105061283
502.0,670.1913774747485
503.0,665.76479117702
504.0,661.376147018205
505.0,657.0250454633193
506.0,652.7110919640057
507.0,648.4338968866043
508.0,644.1930754414001
509.0,639.9882476130272
510.0,635.8190380920051
511.0,631.6850762073899
512.0,627.585995860518
513.0,623.5214354598239
514.0,619.4910378567115
515.0,615.4944502824598
516.0,611.5313242861462
517.0,607.6013156735667
518.0,603.7040844471361
519.0,599.8392947467514
520.0,596.0066147915999
521.0,592.205716822895
522.0,588.4362770475254
523.0,584.6979755825982
524.0,580.9904964008624
525.0,577.3135272769962
526.0,573.6667597347434
527.0,570.0498889948835
528.0,566.4626139240197
529.0,562.9046369841734
530.0,559.3756641831676
531.0,555.8754050257883
532.0,552.403572465707
533.0,548.9598828581559
534.0,545.544055913336
535.0,542.1558146505527
536.0,538.79488535306
537.0,535.4609975236049
538.0,532.1538838406582
539.0,528.8732801153208
540.0,525.6189252488923
541.0,522.3905611910928
542.0,519.1879328989241
543.0,516.0107882961619
544.0,512.8588782334658
545.0,509.73195644909885
546.0,506.6297795302439
547.0,503.5521068749087
548.0,500.49870065440854
549.0,497.4693257764166
550.0,494.4637498485735
551.0,491.48174314264503
552.0,488.5230785592199
553.0,485.5875315929386
554.0,482.67488029824324
555.0,479.78490525564087
556.0,476.91738953847073
557.0,474.0721186801685
558.0,471.2488806420165
559.0,468.4474657813752
560.0,465.6676668203852
561.0,462.9092788151333
562.0,460.1720991252747
563.0,457.45592738410437
564.0,454.7605654690669
565.0,452.08581747270443
566.0,449.43148967402806
567.0,446.79739051030987
568.0,444.18333054928786
569.0,441.5891224617773
570.0,439.014580994681
571.0,436.4595229443924
572.0,433.9237671305863
573.0,431.40713437038795
574.0,428.9094474529185
575.0,426.43053111420636
576.0,423.970212012462
577.0,421.5283187037086
578.0,419.104681617763
579.0,416.6991330345617
580.0,414.31150706082633
581.0,411.9416396070626
582.0,409.5893683648881
583.0,407.25453278468353
584.0,404.9369740535614
585.0,402.636535073649
586.0,400.3530604406778
587.0,398.08639642287795
588.0,395.8363909401699
589.0,393.60289354364966
590.0,391.38575539536413
591.0,389.1848292483704
592.0,386.99996942707435
593.0,384.8310318078462
594.0,382.67787379990665
595.0,380.5403543264798
596.0,378.41833380620983
597.0,376.31167413483587
598.0,374.2202386671213
599.0,372.1438921990351
600.0,370.0825009501786
601.0,368.03593254645665
602.0,366.0040560029869
603.0,363.98674170724576
604.0,361.98386140244594
605.0,359.99528817114214
606.0,358.0208964190619
607.0,356.06056185915816
608.0,354.1141614958796
609.0,352.1815736096557
610.0,350.26267774159334
611.0,348.35735467838174
612.0,346.4654864374023
613.0,344.5869562520406
614.0,342.7216485571968
615.0,340.86944897499274
616.0,339.03024430067137
617.0,337.2039224886861
618.0,335.3903726389777
619.0,333.5894849834354
620.0,331.80115087253927
